target	n_autosomal_sites	reason
BRD4	1619282	not in TF gate set
EP300	898149	not in TF gate set
SMARCA4	658603	not in TF gate set
RAD21	644076	not in TF gate set
MBD4	614768	not in TF gate set
EZH2	420144	not in TF gate set
SMARCC1	365534	not in TF gate set
BMI1	353556	not in TF gate set
SUZ12	329941	not in TF gate set
HDAC2	309627	not in TF gate set
SSRP1	300051	not in TF gate set
KDM1A	294481	not in TF gate set
LMNA	259893	not in TF gate set
BRD2	249899	not in TF gate set
SMC3	238414	not in TF gate set
RING1	233135	not in TF gate set
LMNB1	231628	not in TF gate set
INTS11	231058	not in TF gate set
CDK9	222969	not in TF gate set
TRIM28	214805	not in TF gate set
RNF2	187833	not in TF gate set
HDAC1	179472	not in TF gate set
BRD9	173357	not in TF gate set
SFPQ	172121	not in TF gate set
SS18	166406	not in TF gate set
PADI2	165894	not in TF gate set
ME1	159690	not in TF gate set
SIN3A	156646	not in TF gate set
CDK8	143762	not in TF gate set
DPF2	143665	not in TF gate set
TLE3	142244	not in TF gate set
H2AFZ	139647	not in TF gate set
GTF3C2	134937	not in TF gate set
NCOR1	131138	not in TF gate set
XRCC5	127143	not in TF gate set
SUMO2	126721	not in TF gate set
MCM7	124120	not in TF gate set
MBL2	123954	not in TF gate set
NCOA1	122572	not in TF gate set
MED12	121678	not in TF gate set
CHD7	120447	not in TF gate set
CBX3	119954	not in TF gate set
NUP98	117426	not in TF gate set
RBM25	117083	not in TF gate set
NIPBL	111094	not in TF gate set
FANCD2	109900	not in TF gate set
DTL	109127	not in TF gate set
SUPT5H	108693	not in TF gate set
SMAD2	108643	not in TF gate set
TAF1	107721	not in TF gate set
SMC1A	107417	not in TF gate set
ME3	106313	not in TF gate set
PARP1	105973	not in TF gate set
RUNX1T1	105559	not in TF gate set
EED	103539	not in TF gate set
SMARCB1	102365	not in TF gate set
BRD3	101690	not in TF gate set
RBM22	99421	not in TF gate set
SIRT6	96391	not in TF gate set
PEX2	95640	not in TF gate set
CUL4A	91197	not in TF gate set
CENPA	91118	not in TF gate set
SIRT1	90381	not in TF gate set
LDB1	89593	not in TF gate set
ARID2	89215	not in TF gate set
SRSF3	88994	not in TF gate set
CDK2	87674	not in TF gate set
HIRA	87428	not in TF gate set
CNOT3	85760	not in TF gate set
TRIM24	83635	not in TF gate set
RCOR1	78611	not in TF gate set
ERCC3	78534	not in TF gate set
T-CELL	77387	not in TF gate set
CHD1	76585	not in TF gate set
RBBP5	76405	not in TF gate set
AGO1	74417	not in TF gate set
AGO2	74271	not in TF gate set
YAP1	73549	not in TF gate set
CREBBP	72724	not in TF gate set
OGG1	72515	not in TF gate set
NELFE	72087	not in TF gate set
CHD8	70221	not in TF gate set
SMARCA2	69992	not in TF gate set
HDGFL3	69682	not in TF gate set
ARID1A	69434	not in TF gate set
PRMT1	68940	not in TF gate set
HEXIM1	68013	not in TF gate set
STAG1	65914	not in TF gate set
