tf	n_autosomal_sites	n_written	status
AHR	102554	10000	kept
ALX4	97	0	dropped: <10000 autosomal sites
AR	1578961	10000	kept
ARID3A	10991	10000	kept
ARID3B	2828	0	dropped: <10000 autosomal sites
ARID5B	1982	0	dropped: <10000 autosomal sites
ARNT	140280	10000	kept
ARNT2	577	0	dropped: <10000 autosomal sites
ARNTL	51193	10000	kept
ASCL1	161593	10000	kept
ASCL2	27310	10000	kept
ASH1L	1241	0	dropped: <10000 autosomal sites
ATF1	51701	10000	kept
ATF2	73397	10000	kept
ATF3	128791	10000	kept
ATF4	44835	10000	kept
ATF5	1407	0	dropped: <10000 autosomal sites
ATF6	1426	0	dropped: <10000 autosomal sites
ATF7	51975	10000	kept
ATOH1	12449	10000	kept
BACH1	10529	10000	kept
BACH2	11883	10000	kept
BARHL1	1073	0	dropped: <10000 autosomal sites
BARX1	1174	0	dropped: <10000 autosomal sites
BARX2	1786	0	dropped: <10000 autosomal sites
BATF	48333	10000	kept
BATF2	11	0	dropped: <10000 autosomal sites
BATF3	53207	10000	kept
BBX	39	0	dropped: <10000 autosomal sites
BCL11A	42076	10000	kept
BCL11B	14512	10000	kept
BCL6	101389	10000	kept
BCL6B	1001	0	dropped: <10000 autosomal sites
BHLHE40	71348	10000	kept
BHLHE41	16	0	dropped: <10000 autosomal sites
BPTF	9977	0	dropped: <10000 autosomal sites
CASZ1	23739	10000	kept
CDC5L	1352	0	dropped: <10000 autosomal sites
CDX1	183	0	dropped: <10000 autosomal sites
CDX2	156037	10000	kept
CEBPA	302861	10000	kept
CEBPB	720367	10000	kept
CEBPD	33312	10000	kept
CEBPE	211	0	dropped: <10000 autosomal sites
CEBPG	57465	10000	kept
CEBPZ	1614	0	dropped: <10000 autosomal sites
CIC	671	0	dropped: <10000 autosomal sites
CLOCK	86653	10000	kept
CREB1	242128	10000	kept
CREB3	1644	0	dropped: <10000 autosomal sites
CREB3L1	4125	0	dropped: <10000 autosomal sites
CREB3L2	136	0	dropped: <10000 autosomal sites
CREB3L4	2111	0	dropped: <10000 autosomal sites
CREB5	27550	10000	kept
CREBL2	193	0	dropped: <10000 autosomal sites
CREM	47277	10000	kept
CTCF	1403866	10000	kept
CTCFL	67862	10000	kept
CUX1	5450	0	dropped: <10000 autosomal sites
CXXC1	12127	10000	kept
CXXC4	5089	0	dropped: <10000 autosomal sites
DACH1	4106	0	dropped: <10000 autosomal sites
DBP	1154	0	dropped: <10000 autosomal sites
DDIT3	17187	10000	kept
DEAF1	11435	10000	kept
DLX1	4256	0	dropped: <10000 autosomal sites
DLX2	2205	0	dropped: <10000 autosomal sites
DLX4	997	0	dropped: <10000 autosomal sites
DLX6	976	0	dropped: <10000 autosomal sites
DMRT1	739	0	dropped: <10000 autosomal sites
DNMT1	1265	0	dropped: <10000 autosomal sites
DRAP1	16037	10000	kept
DUX4	113645	10000	kept
E2F1	196659	10000	kept
E2F2	2298	0	dropped: <10000 autosomal sites
E2F3	5835	0	dropped: <10000 autosomal sites
E2F4	21859	10000	kept
E2F5	3294	0	dropped: <10000 autosomal sites
E2F6	60584	10000	kept
E2F7	19456	10000	kept
E2F8	180828	10000	kept
E4F1	9205	0	dropped: <10000 autosomal sites
EBF1	80444	10000	kept
EBF3	48808	10000	kept
